epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,227.221,1.3515,2.01718,1.28358,1.50332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166527,0.000166527,0.0668611
2,445.935,1.28833,1.79086,0.98092,1.43372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000332898,0.000332898,0.0336942
3,664.189,1.24399,1.73838,0.91304,1.38063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000498087,0.000498087,0.000526027
4,881.778,1.21977,1.67732,0.85541,1.37142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000496015,0.000496015,0.000496015
5,1099.55,1.18546,1.64136,0.82166,1.34199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000492931,0.000492931,0.000492931
6,1316.84,1.16189,1.6042,0.77341,1.31903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000488988,0.000488988,0.000488988
7,1534.42,1.13761,1.58199,0.75205,1.30715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004842,0.0004842,0.0004842
8,1751.84,1.12455,1.55842,0.74141,1.28936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000478586,0.000478586,0.000478586
9,1969.19,1.10797,1.5408,0.71729,1.27888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000472169,0.000472169,0.000472169
10,2186.81,1.08371,1.50734,0.6983,1.26434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000464974,0.000464974,0.000464974
11,2404.45,1.07639,1.49616,0.67208,1.25691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000457029,0.000457029,0.000457029
12,2621.77,1.05715,1.48438,0.65882,1.24629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000448365,0.000448365,0.000448365
13,2838.43,1.0477,1.47278,0.63525,1.23638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000439018,0.000439018,0.000439018
14,3056.27,1.03087,1.45899,0.61808,1.22666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000429023,0.000429023,0.000429023
15,3273.9,1.01806,1.43301,0.60195,1.21121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041842,0.00041842,0.00041842
16,3491.16,1.0023,1.42353,0.59509,1.19961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000407252,0.000407252,0.000407252
17,3708.48,0.98759,1.40173,0.57032,1.1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000395561,0.000395561,0.000395561
18,3925.82,0.97475,1.38728,0.55514,1.18502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000383395,0.000383395,0.000383395
19,4143.22,0.96211,1.37306,0.53619,1.16988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003708,0.0003708,0.0003708
20,4360.58,0.94708,1.35357,0.52478,1.15586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000357828,0.000357828,0.000357828
21,4577.96,0.91837,1.33294,0.50416,1.14181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000344529,0.000344529,0.000344529
22,4795.21,0.91207,1.32088,0.48377,1.13688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000330955,0.000330955,0.000330955
23,5012.52,0.88955,1.30304,0.46495,1.12181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000317161,0.000317161,0.000317161
24,5229.59,0.87627,1.29013,0.45469,1.11286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003032,0.0003032,0.0003032
25,5446.53,0.85695,1.26887,0.43216,1.09425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000289128,0.000289128,0.000289128
26,5663.78,0.84514,1.25394,0.42619,1.08194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000275,0.000275,0.000275
27,5880.72,0.82665,1.23794,0.41096,1.07117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000260872,0.000260872,0.000260872
28,6097.87,0.80882,1.21707,0.39477,1.06189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002468,0.0002468,0.0002468
29,6316.32,0.79324,1.20014,0.38423,1.05308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000232839,0.000232839,0.000232839
30,6533.65,0.7782,1.18898,0.37095,1.04516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219045,0.000219045,0.000219045
31,6750.68,0.75735,1.17041,0.3559,1.02962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000205471,0.000205471,0.000205471
32,6967.67,0.73854,1.15182,0.34372,1.01674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192172,0.000192172,0.000192172
33,7185.08,0.73557,1.14338,0.33598,1.01371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001792,0.0001792,0.0001792
34,7402.21,0.71362,1.11946,0.32537,1.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166605,0.000166605,0.000166605
35,7620.85,0.69708,1.1135,0.31817,0.9942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000154439,0.000154439,0.000154439
36,7838.48,0.68446,1.09872,0.3021,0.98119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142748,0.000142748,0.000142748
37,8055.82,0.66941,1.0816,0.29638,0.9733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013158,0.00013158,0.00013158
38,8273.17,0.65581,1.06889,0.28989,0.96059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000120977,0.000120977,0.000120977
39,8490.08,0.64332,1.05695,0.28617,0.95877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110982,0.000110982,0.000110982
40,8707.49,0.63446,1.04748,0.27895,0.9518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101635,0.000101635,0.000101635
41,8924.78,0.62202,1.03473,0.2747,0.94261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.29712e-05,9.29712e-05,9.29712e-05
42,9142.17,0.6123,1.02637,0.26953,0.93835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50262e-05,8.50262e-05,8.50262e-05
43,9359.85,0.60223,1.01521,0.26279,0.93395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7831e-05,7.7831e-05,7.7831e-05
44,9577.51,0.59508,1.00707,0.25904,0.92656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14139e-05,7.14139e-05,7.14139e-05
45,9794.63,0.58985,1.00204,0.25666,0.92568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58003e-05,6.58003e-05,6.58003e-05
46,10011.8,0.57585,0.99203,0.24937,0.91568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10123e-05,6.10123e-05,6.10123e-05
47,10229,0.57174,0.98842,0.24677,0.91359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70688e-05,5.70688e-05,5.70688e-05
48,10446.4,0.56607,0.97888,0.24397,0.9117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39854e-05,5.39854e-05,5.39854e-05
49,10663.6,0.56018,0.97656,0.24187,0.90643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17742e-05,5.17742e-05,5.17742e-05
50,10976.2,0.55276,0.96841,0.23993,0.90179,0,0.99783,0.99822,0.99494,0.8818,0.99783,0.99822,0.99494,0.83207,0.50703,0.9124,0.22371,0.88353,0,5.0444e-05,5.0444e-05,5.0444e-05
