level,model,metric,value
image,MobileNetV3,roc_auc,0.9199591155764154
image,MobileNetV3,auprc,0.9027718843724888
image,MobileNetV3,accuracy,0.8180515759312321
image,MobileNetV3,balanced_accuracy,0.8095675051334703
image,MobileNetV3,sensitivity,0.6878850102669405
image,MobileNetV3,specificity,0.93125
image,MobileNetV3,precision,0.8969210174029452
image,MobileNetV3,f1,0.778617083091226
image,MobileNetV3,mcc,0.644658560058138
image,EfficientNetB3,roc_auc,0.908152592402464
image,EfficientNetB3,auprc,0.8936853891656509
image,EfficientNetB3,accuracy,0.8085004775549188
image,EfficientNetB3,balanced_accuracy,0.8002374229979465
image,EfficientNetB3,sensitivity,0.6817248459958932
image,EfficientNetB3,specificity,0.91875
image,EfficientNetB3,precision,0.8794701986754967
image,EfficientNetB3,f1,0.768074031231926
image,EfficientNetB3,mcc,0.6237629065436998
image,ConvNeXtTiny,roc_auc,0.9342058704898798
image,ConvNeXtTiny,auprc,0.9199395645450834
image,ConvNeXtTiny,accuracy,0.828080229226361
image,ConvNeXtTiny,balanced_accuracy,0.821217732472866
image,ConvNeXtTiny,sensitivity,0.7227926078028748
image,ConvNeXtTiny,specificity,0.9196428571428571
image,ConvNeXtTiny,precision,0.8866498740554156
image,ConvNeXtTiny,f1,0.7963800904977375
image,ConvNeXtTiny,mcc,0.6604441080249758
image,YOLOv8sSeg,roc_auc,0.9265455412144323
image,YOLOv8sSeg,auprc,0.9121221120234501
image,YOLOv8sSeg,accuracy,0.8553008595988538
image,YOLOv8sSeg,balanced_accuracy,0.8519507186858316
image,YOLOv8sSeg,sensitivity,0.8039014373716632
image,YOLOv8sSeg,specificity,0.9
image,YOLOv8sSeg,precision,0.8748603351955307
image,YOLOv8sSeg,f1,0.8378812199036918
image,YOLOv8sSeg,mcc,0.7097072350074465
patient,MobileNetV3,roc_auc,0.9417281921061516
patient,MobileNetV3,auprc,0.9310643439097412
patient,MobileNetV3,accuracy,0.8281461434370772
patient,MobileNetV3,balanced_accuracy,0.8227773782089859
patient,MobileNetV3,sensitivity,0.7025495750708215
patient,MobileNetV3,specificity,0.9430051813471503
patient,MobileNetV3,precision,0.9185185185185185
patient,MobileNetV3,f1,0.7961476725521669
patient,MobileNetV3,mcc,0.6696467831737402
patient,EfficientNetB3,roc_auc,0.9359707319937178
patient,EfficientNetB3,auprc,0.9273972818939723
patient,EfficientNetB3,accuracy,0.8335588633288228
patient,EfficientNetB3,balanced_accuracy,0.828079819166581
patient,EfficientNetB3,sensitivity,0.7053824362606232
patient,EfficientNetB3,specificity,0.9507772020725389
patient,EfficientNetB3,precision,0.9291044776119403
patient,EfficientNetB3,f1,0.8019323671497585
patient,EfficientNetB3,mcc,0.681730409967757
patient,ConvNeXtTiny,roc_auc,0.949309398347253
patient,ConvNeXtTiny,auprc,0.9393278682791523
patient,ConvNeXtTiny,accuracy,0.851150202976996
patient,ConvNeXtTiny,balanced_accuracy,0.8470988859369726
patient,ConvNeXtTiny,sensitivity,0.7563739376770539
patient,ConvNeXtTiny,specificity,0.9378238341968912
patient,ConvNeXtTiny,precision,0.9175257731958762
patient,ConvNeXtTiny,f1,0.8291925465838509
patient,ConvNeXtTiny,mcc,0.7097063956082581
patient,YOLOv8sSeg,roc_auc,0.9478929677523521
patient,YOLOv8sSeg,auprc,0.9406859405201072
patient,YOLOv8sSeg,accuracy,0.8836265223274695
patient,YOLOv8sSeg,balanced_accuracy,0.8814565016366012
patient,YOLOv8sSeg,sensitivity,0.8328611898016998
patient,YOLOv8sSeg,specificity,0.9300518134715026
patient,YOLOv8sSeg,precision,0.9158878504672897
patient,YOLOv8sSeg,f1,0.8724035608308606
patient,YOLOv8sSeg,mcc,0.7688035235708359
