level,model_a,model_b,metric,difference_a_minus_b,ci_low,ci_high,bootstrap_samples_valid,primary_dual_component_pair
patient,MobileNetV3,EfficientNetB3,roc_auc,0.005757460112433721,-0.006121966798466999,0.017940374800213738,2000,False
patient,MobileNetV3,EfficientNetB3,auprc,0.0036670620157689404,-0.017500803793234203,0.024863916331729383,2000,False
patient,MobileNetV3,EfficientNetB3,accuracy,-0.005412719891745632,-0.02976995940460081,0.018944519621109546,2000,False
patient,MobileNetV3,EfficientNetB3,balanced_accuracy,-0.005302440957595134,-0.03104032957759873,0.019572631107767722,2000,False
patient,MobileNetV3,EfficientNetB3,sensitivity,-0.0028328611898017497,-0.0481620605845995,0.04286098310291864,2000,False
patient,MobileNetV3,EfficientNetB3,specificity,-0.007772020725388629,-0.03030687586525147,0.012987012987012991,2000,False
patient,MobileNetV3,EfficientNetB3,precision,-0.010585959093421748,-0.04035519419173293,0.01774214894717138,2000,False
patient,MobileNetV3,EfficientNetB3,f1,-0.0057846945975915665,-0.0382922511676983,0.026469949507337026,2000,False
patient,MobileNetV3,EfficientNetB3,mcc,-0.012083626794016866,-0.059928025378776784,0.03470275620258617,2000,False
patient,MobileNetV3,ConvNeXtTiny,roc_auc,-0.007581206241101479,-0.02087864048359723,0.005148803425970561,2000,False
patient,MobileNetV3,ConvNeXtTiny,auprc,-0.008263524369411024,-0.030235865645586717,0.011075576972055953,2000,False
patient,MobileNetV3,ConvNeXtTiny,accuracy,-0.023004059539918797,-0.050067658998646736,0.0027063599458727605,2000,False
patient,MobileNetV3,ConvNeXtTiny,balanced_accuracy,-0.02432150772798669,-0.051369411673940296,0.0012923333728000607,2000,False
patient,MobileNetV3,ConvNeXtTiny,sensitivity,-0.05382436260623236,-0.10210636773136776,-0.008264462809917328,2000,False
patient,MobileNetV3,ConvNeXtTiny,specificity,0.005181347150259086,-0.019658446325112933,0.030077077114897783,2000,False
patient,MobileNetV3,ConvNeXtTiny,precision,0.0009927453226422633,-0.030876772140796278,0.03290059536405995,2000,False
patient,MobileNetV3,ConvNeXtTiny,f1,-0.03304487403168399,-0.06790961535139563,0.00012567643505542023,2000,False
patient,MobileNetV3,ConvNeXtTiny,mcc,-0.040059612434517944,-0.09159176000784416,0.009136632961869654,2000,False
patient,MobileNetV3,YOLOv8sSeg,roc_auc,-0.006164775646200549,-0.019065328040718525,0.006783390040147723,2000,False
patient,MobileNetV3,YOLOv8sSeg,auprc,-0.00962159661036599,-0.029013971893747513,0.009601968412419481,2000,False
patient,MobileNetV3,YOLOv8sSeg,accuracy,-0.05548037889039237,-0.08119079837618404,-0.03112313937753719,2000,False
patient,MobileNetV3,YOLOv8sSeg,balanced_accuracy,-0.058679123427615276,-0.08421011929335281,-0.03397537721986505,2000,False
patient,MobileNetV3,YOLOv8sSeg,sensitivity,-0.13031161473087827,-0.17613636363636365,-0.08516337386018241,2000,False
patient,MobileNetV3,YOLOv8sSeg,specificity,0.012953367875647714,-0.012595253542986493,0.03632071318512001,2000,False
patient,MobileNetV3,YOLOv8sSeg,precision,0.0026306680512288017,-0.02741763696183213,0.030905952611521396,2000,False
patient,MobileNetV3,YOLOv8sSeg,f1,-0.07625588827869367,-0.10963644195571721,-0.045009930848870325,2000,False
patient,MobileNetV3,YOLOv8sSeg,mcc,-0.09915674039709577,-0.14811892136334073,-0.05229444751895285,2000,False
patient,EfficientNetB3,ConvNeXtTiny,roc_auc,-0.0133386663535352,-0.027266221315339217,0.00030032473331343394,2000,False
