model_a,model_b,metric,mean_image_difference_a_minus_b,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,patient_wilcoxon_statistic,patient_wilcoxon_p,patient_wilcoxon_p_holm,reject_holm_0_05,primary_dual_component_pair
MobileNetV3,EfficientNetB3,dice,-0.0017196405760058274,-0.005840897347782716,0.0025008139620458056,118421.0,0.0016253582927043349,0.0032507165854086697,True,False
MobileNetV3,EfficientNetB3,iou,-0.004212077972034099,-0.008652800367636887,0.00044867761519418235,116803.0,0.0006035071430368323,0.0012070142860736645,True,False
MobileNetV3,ConvNeXtTiny,dice,-0.015434052412689263,-0.020226149853605383,-0.011257747421351421,77413.0,1.692858829174641e-24,1.0157152975047846e-23,True,False
MobileNetV3,ConvNeXtTiny,iou,-0.022553062526622532,-0.02777257707791882,-0.017480212278614356,75871.0,1.0566162408958182e-25,6.33969744537491e-25,True,False
MobileNetV3,YOLOv8sSeg,dice,-0.013052556626753845,-0.018204410710867577,-0.008181216626852846,97187.0,9.822636005578056e-12,3.9290544022312226e-11,True,False
MobileNetV3,YOLOv8sSeg,iou,-0.01907996367098833,-0.024314703293765047,-0.013860619150034366,95469.0,1.2030529517164798e-12,4.812211806865919e-12,True,False
EfficientNetB3,ConvNeXtTiny,dice,-0.013714411836683435,-0.01858871144701416,-0.009139338500941055,90769.0,2.4796964224344515e-15,1.2398482112172258e-14,True,False
EfficientNetB3,ConvNeXtTiny,iou,-0.01834098455458844,-0.023695678561661555,-0.01336999245771329,89446.0,3.870724363202069e-16,1.9353621816010346e-15,True,False
EfficientNetB3,YOLOv8sSeg,dice,-0.011332916050748017,-0.016897127507832066,-0.005873756280292762,111022.0,9.605609177330467e-06,2.88168275319914e-05,True,False
EfficientNetB3,YOLOv8sSeg,iou,-0.01486788569895423,-0.02132028623187653,-0.008956363043429373,110520.0,6.411616758082744e-06,1.9234850274248232e-05,True,False
ConvNeXtTiny,YOLOv8sSeg,dice,0.0023814957859354165,-0.002903875398148597,0.007015529471484767,123910.0,0.02739910738318438,0.02739910738318438,True,True
ConvNeXtTiny,YOLOv8sSeg,iou,0.0034730988556342054,-0.0018903742710343133,0.008613371000331375,123738.0,0.025390251753495706,0.025390251753495706,True,True
