model,level,nodule_size_group,n,benign_n,malignant_n,accuracy,accuracy_ci_low,accuracy_ci_high,balanced_accuracy,sensitivity_malignant,sensitivity_ci_low,sensitivity_ci_high,specificity_benign,specificity_ci_low,specificity_ci_high,precision_malignant,f1_malignant,mcc,tn,fp,fn,tp,classification_ci_method,classification_bootstrap_samples,classification_bootstrap_patients,accuracy_bootstrap_ci_low,accuracy_bootstrap_ci_high,accuracy_bootstrap_valid,balanced_accuracy_bootstrap_ci_low,balanced_accuracy_bootstrap_ci_high,balanced_accuracy_bootstrap_valid,sensitivity_malignant_bootstrap_ci_low,sensitivity_malignant_bootstrap_ci_high,sensitivity_malignant_bootstrap_valid,specificity_benign_bootstrap_ci_low,specificity_benign_bootstrap_ci_high,specificity_benign_bootstrap_valid,precision_malignant_bootstrap_ci_low,precision_malignant_bootstrap_ci_high,precision_malignant_bootstrap_valid,f1_malignant_bootstrap_ci_low,f1_malignant_bootstrap_ci_high,f1_malignant_bootstrap_valid,mcc_bootstrap_ci_low,mcc_bootstrap_ci_high,mcc_bootstrap_valid
MobileNetV3,image,small,733,326,407,0.7407912687585266,0.7078712251603321,0.7712006237079065,0.7540698813704949,0.6339066339066339,0.5860556026449417,0.6792535516767293,0.8742331288343558,0.8338259430907463,0.9059233924609175,0.862876254180602,0.7308781869688386,0.5138173041650128,285,41,149,258,patient bootstrap / patient-cluster bootstrap,2000,313,0.6935384445426426,0.7843644879710454,2000,0.7100866529149913,0.7938614177445344,2000,0.5647595905349017,0.697949411771256,2000,0.8205108359133126,0.9193008641005498,2000,0.8013657369202839,0.9133339350180505,2000,0.6741820997117802,0.7808783911971162,2000,0.42677783592967194,0.5920772867100362,2000
MobileNetV3,image,medium,730,341,389,0.7986301369863014,0.768010177267523,0.8261236029370806,0.8061689119405347,0.6915167095115681,0.6439328646285015,0.7353550049545522,0.9208211143695014,0.8872512062244581,0.94501531121082,0.9087837837837838,0.7854014598540145,0.622232020354221,314,27,120,269,patient bootstrap / patient-cluster bootstrap,2000,349,0.7578199874327242,0.835620455549753,2000,0.7697864963305541,0.8389186827343542,2000,0.631942177980853,0.7493798050249663,2000,0.8808761482102501,0.9541580024559967,2000,0.8616993668556283,0.9462383632820958,2000,0.7396342631986447,0.8266335168484658,2000,0.5487629267869463,0.6864443125433886,2000
MobileNetV3,image,large,631,453,178,0.93026941362916,0.9076833460958361,0.9476483157787644,0.8917516184239899,0.8033707865168539,0.7388400547074588,0.855083909059759,0.9801324503311258,0.9626771813189124,0.9895131061451975,0.9407894736842105,0.8666666666666667,0.824537375278922,444,9,35,143,patient bootstrap / patient-cluster bootstrap,2000,262,0.9039725973822809,0.9545454545454546,2000,0.852150854857988,0.9271181515120093,2000,0.7243196644920783,0.8723439954305298,2000,0.9639059826602062,0.9935355211179207,2000,0.8896551724137931,0.9806451612903225,2000,0.8108068127298897,0.9117669408188808,2000,0.7609788656116664,0.8809272585050815,2000
MobileNetV3,patient,small,274,115,159,0.7554744525547445,0.7012805459240473,0.8026039376740232,0.7748701121137545,0.6540880503144654,0.577304930677612,0.7236012412202598,0.8956521739130435,0.8264310773606731,0.9392949655794358,0.896551724137931,0.7563636363636363,0.5490949625810171,103,12,55,104,patient bootstrap / patient-cluster bootstrap,2000,274,0.7043795620437956,0.8029197080291971,2000,0.7284977003120331,0.8197803282093893,2000,0.5853658536585366,0.7272861753630984,2000,0.8347826086956521,0.9478260869565217,2000,0.8386943164362519,0.9482758620689655,2000,0.6996197718631179,0.8108154546298877,2000,0.45637749383277804,0.6339563166210035,2000
MobileNetV3,patient,medium,247,115,132,0.8299595141700404,0.7781432998827081,0.8716695371432287,0.8375494071146246,0.7272727272727273,0.6456767942620298,0.7960145753749663,0.9478260869565217,0.8908294548072233,0.9758714509381745,0.9411764705882353,0.8205128205128205,0.6839417951771073,109,6,36,96,patient bootstrap / patient-cluster bootstrap,2000,247,0.7813765182186235,0.8785425101214575,2000,0.7915353754870351,0.880208559480915,2000,0.6521658615136876,0.8017514570179697,2000,0.902427068388331,0.9836098893775823,2000,0.891298966853207,0.9818222768222767,2000,0.7631467439785906,0.8715953307392996,2000,0.5958853624920235,0.7680725174329653,2000
MobileNetV3,patient,large,218,156,62,0.9174311926605505,0.8732708317975938,0.9471348803155039,0.8742762613730355,0.7741935483870968,0.6559437908464204,0.8604481696141172,0.9743589743589743,0.9359329413759742,0.9899845339269909,0.9230769230769231,0.8421052631578947,0.7923639465577853,152,4,14,48,patient bootstrap / patient-cluster bootstrap,2000,218,0.8807339449541285,0.9541284403669725,2000,0.8209073786519437,0.9256395294454469,2000,0.671875,0.875,2000,0.9466607142857143,0.9939393939393939,2000,0.84,0.9833333333333333,2000,0.7663551401869159,0.9090909090909091,2000,0.702767835591158,0.8799585887816451,2000
EfficientNetB3,image,small,733,326,407,0.7162346521145976,0.6825365113508262,0.7476781517971389,0.7292096893323887,0.6117936117936118,0.5636124406368033,0.657884192787711,0.8466257668711656,0.8034916967041257,0.8816859665527434,0.8327759197324415,0.7053824362606232,0.46354138485831925,276,50,158,249,patient bootstrap / patient-cluster bootstrap,2000,313,0.672972336401004,0.759071930659056,2000,0.6896141982006336,0.7679671026917498,2000,0.5494716956967213,0.6756807687084069,2000,0.7971014492753623,0.890008064516129,2000,0.7727199883449883,0.8852552769741776,2000,0.6511627906976745,0.7530084217463828,2000,0.3841222907441482,0.5372655837146068,2000
EfficientNetB3,image,medium,730,341,389,0.8054794520547945,0.7751968011335173,0.8325639006354122,0.812052861310677,0.712082262210797,0.6651850584852147,0.7548317098450127,0.9120234604105572,0.8771865301223211,0.9376806872968885,0.9022801302931596,0.7959770114942529,0.6307696424342771,311,30,112,277,patient bootstrap / patient-cluster bootstrap,2000,349,0.7709495378630553,0.8380241554453106,2000,0.7798297347817003,0.8423027389591385,2000,0.6584120281776077,0.7626076266646257,2000,0.8774312173190636,0.9461094807552035,2000,0.8576263140956877,0.940789986063289,2000,0.7544890956449861,0.8326186193673237,2000,0.5668890462060885,0.6895517901050944,2000
EfficientNetB3,image,large,631,453,178,0.919175911251981,0.8952858687001556,0.9379930431445288,0.8754991690850014,0.7752808988764045,0.7085206013378985,0.8304104028212437,0.9757174392935982,0.9570465747879688,0.9863879399178503,0.9261744966442953,0.8440366972477065,0.7957587538282098,442,11,40,138,patient bootstrap / patient-cluster bootstrap,2000,262,0.893201089039346,0.9440163999315605,2000,0.8370685609311307,0.9117785539441869,2000,0.6983155862172397,0.8448298912041305,2000,0.9568178136658158,0.9909302182411426,2000,0.8680555555555556,0.9720772897339961,2000,0.7888350444376341,0.8911976313841597,2000,0.7347650438981143,0.8536093909206245,2000
EfficientNetB3,patient,small,274,115,159,0.7481751824817519,0.6935898780540843,0.7958979060126128,0.7709871479354662,0.6289308176100629,0.5516286154411354,0.7001500181876961,0.9130434782608695,0.8473028279572066,0.9520815025846652,0.9090909090909091,0.7434944237918215,0.545642142503974,105,10,59,100,patient bootstrap / patient-cluster bootstrap,2000,274,0.6970802919708029,0.7992700729927007,2000,0.7246407726397517,0.815516721491228,2000,0.5535686208445643,0.7044129347578995,2000,0.8583754740834387,0.9622729677305589,2000,0.8508552631578947,0.9592040816326529,2000,0.6819923371647509,0.8,2000,0.45539104611983705,0.6334913054208426,2000
EfficientNetB3,patient,medium,247,115,132,0.8421052631578947,0.791438229473455,0.882294098485952,0.8489130434782608,0.75,0.6697708974862325,0.8160896091144633,0.9478260869565217,0.8908294548072233,0.9758714509381745,0.9428571428571428,0.8354430379746836,0.7041160837283047,109,6,33,99,patient bootstrap / patient-cluster bootstrap,2000,247,0.7935222672064778,0.8866396761133604,2000,0.8050193576037679,0.8896164079737559,2000,0.6739091890225101,0.8235294117647058,2000,0.9056603773584906,0.9826086956521739,2000,0.8952380952380953,0.9813084112149533,2000,0.7787610619469026,0.8833333333333333,2000,0.6209492894088791,0.783273229208379,2000
