model,group_type,group,n_images_total,n_images_segmentation_assessed,n_patients_segmentation_assessed,segmentation_assessment_coverage,mean_dice,mean_dice_patient_cluster_ci_low,mean_dice_patient_cluster_ci_high,patient_balanced_mean_dice,patient_balanced_mean_dice_ci_low,patient_balanced_mean_dice_ci_high,median_dice,mean_iou,mean_iou_patient_cluster_ci_low,mean_iou_patient_cluster_ci_high,patient_balanced_mean_iou,patient_balanced_mean_iou_ci_low,patient_balanced_mean_iou_ci_high,median_iou,bootstrap_samples,geometry
MobileNetV3,nodule_size_group,small,733,733,313,1.0,0.8289503280076806,0.8104098973742518,0.8457289378886212,0.8353489946494495,0.8206452371395505,0.8490357761101537,0.876511315503099,0.7305888152005796,0.7091315288878918,0.7490481446119474,0.738021288151219,0.7211331485631175,0.7533934772705138,0.7801692421302117,2000,original_ultrasound
MobileNetV3,nodule_size_group,medium,730,730,349,1.0,0.874429906679006,0.8664910801088133,0.8821789281288102,0.8649781769242659,0.8528887285111271,0.8755819976398297,0.8972039408633916,0.7866094511994564,0.7759373743901105,0.7968168775581889,0.7751525778559261,0.7612656742477039,0.788332116960195,0.8135719509419541,2000,original_ultrasound
MobileNetV3,nodule_size_group,large,631,631,262,1.0,0.8951019484436861,0.8862759267442126,0.9038118051340848,0.8911810433703589,0.8818196204195088,0.9002190263558472,0.923672920841746,0.8200802511468651,0.8076117170677608,0.8319983518226226,0.8140087474989264,0.8009109485895051,0.8262260474903748,0.8581712183293275,2000,original_ultrasound
EfficientNetB3,nodule_size_group,small,733,733,313,1.0,0.8284500091360608,0.8109368762390525,0.8460798188875219,0.8352606339109889,0.8195354057490539,0.8500589925961509,0.8782026522545254,0.733480098186079,0.7145445436510677,0.7516450570427613,0.7414751809033903,0.7236211947799857,0.7571676919405655,0.7828532078752607,2000,original_ultrasound
EfficientNetB3,nodule_size_group,medium,730,730,349,1.0,0.875776518671712,0.8672656072818505,0.8835933728223666,0.8691029713562338,0.8573351858636054,0.8791805231629753,0.9001325717418802,0.7894648725297457,0.7782782921537919,0.8011912849711661,0.7813706263812731,0.7679986951892769,0.7947129102075865,0.8184010008148336,2000,original_ultrasound
EfficientNetB3,nodule_size_group,large,631,631,262,1.0,0.8998319553285961,0.8912417669711561,0.9087923698035892,0.8932067552906108,0.8838821327751979,0.9027476905457,0.9304759783782066,0.8273961358916467,0.8142790584240649,0.8401153838634401,0.8174274848571617,0.8042291813105525,0.8305659952329226,0.8699907244426147,2000,original_ultrasound
ConvNeXtTiny,nodule_size_group,small,733,733,313,1.0,0.8463665674717837,0.8294797940357986,0.8611473165621719,0.8493566518086845,0.8340097620394207,0.8636591310619617,0.8866577960634657,0.7538697373972412,0.7363667821488923,0.7699438575051943,0.758395956933982,0.7433436849691419,0.7728600981905037,0.7963928726861808,2000,original_ultrasound
ConvNeXtTiny,nodule_size_group,medium,730,730,349,1.0,0.8854751986240024,0.8776763337505258,0.893037501880034,0.879621123932634,0.8702482990468943,0.8880865419591889,0.9051659738150915,0.8035068086516025,0.7929496604337674,0.8135948545985442,0.7951738095631846,0.783082376042078,0.8065944308173445,0.8267609277550522,2000,original_ultrasound
ConvNeXtTiny,nodule_size_group,large,631,631,262,1.0,0.9133107267402574,0.9053803300402261,0.9208801357286615,0.9076111467909247,0.8980774675202566,0.9164083105114323,0.9395419009746324,0.8483308470589538,0.8378004435124138,0.8587813477757481,0.839872291541403,0.8281364601820426,0.8515397538078735,0.8859773920720666,2000,original_ultrasound
YOLOv8sSeg,nodule_size_group,small,733,733,313,1.0,0.8400312993070369,0.82258767925199,0.8547621779433057,0.8454395713891469,0.8320401978848802,0.8587149158528711,0.8784339895451007,0.744304110283422,0.7272628580727929,0.7591427873953057,0.7510519852442735,0.7361235670816174,0.7650525208043071,0.7832209440698136,2000,original_ultrasound
YOLOv8sSeg,nodule_size_group,medium,730,730,349,1.0,0.8912088154423158,0.8847836971742419,0.8973529624912562,0.8866421622701364,0.8782812570664265,0.8937687740264282,0.9099805542206535,0.8101634684718837,0.801103870976548,0.8190256559800188,0.8039751879311973,0.7932218883772413,0.8140124493282577,0.834829684142236,2000,original_ultrasound
YOLOv8sSeg,nodule_size_group,large,631,631,262,1.0,0.9061337998173443,0.8959887336603749,0.9151684325627084,0.9028588226695033,0.8922465063068176,0.9125874299691483,0.9350922473950866,0.840216067347268,0.827679001007259,0.8527912497680425,0.835121525670766,0.8217933828913027,0.8481553292960016,0.8780969479353681,2000,original_ultrasound
